,Company,Title,Location,Url
0,de Volksban,Release coördinator,'s Hertogenbosch,https://jobs.github.com/positions/968d2ec9-80d6-4902-90fb-79478aeb1271
1,Playco,Senior Fullstack Engineer,Remote,https://jobs.github.com/positions/46ab84b4-12dc-4a95-ab08-422428554dfc
2,Agiloft Inc, Senior EJB Developer (Remote),"Kyiv, Ukraine, Budapest, Hungary, Russia",https://jobs.github.com/positions/bead9090-4ebb-4de5-8d36-58ea9a303e66
3,Agiloft Inc,Sr. Front End Developer (Remote),"Kyiv, Ukraine, Budapest, Hungary, Russia, India, Philippines, Czech Republic",https://jobs.github.com/positions/612ccd86-41d3-40c0-acc2-7d916068d5bf
4,"Agiloft, Inc.",DevOps Engineer (Remote),"India, Hungary, Russia, Philippines, Czech Republic",https://jobs.github.com/positions/aa274e93-f888-4180-899a-4c13de6dd637
5,YAZIO GmbH,Android Developer (w/m/d),Erfurt / Remote,https://jobs.github.com/positions/524105fb-7505-4041-9a81-079848592f3b
6,YouGov,Data Scientist / Data Engineer,Poland,https://jobs.github.com/positions/034ce0bb-2b0c-459a-9b70-ed85b54e068b
7,Channable ,Python Software Enginer ,Utrecht (The Netherlands),https://jobs.github.com/positions/568f9a99-186d-4001-8f02-4d3aed7e0b9e
8,Superformula,Senior Flutter Dev on a New Platform Team,Seattle / Fully Remote,https://jobs.github.com/positions/46b9cb14-243b-4f39-aa14-a4656263814a
9,KfW Bankengruppe Berlin,IT Solution Architect (w/m/d) Softwarearchitektur & -entwicklung,Berlin,https://jobs.github.com/positions/785da261-7ac6-4f73-9df0-4c85a8b48157
10,Clariteia SL,Senior Software Engineer,Madrid,https://jobs.github.com/positions/f24a72e0-fbe1-4575-a969-3ca27bfd60d3
11,Cactus Communications,Frontend Developer,India,https://jobs.github.com/positions/37ef38d2-7705-4432-b67f-f4860094d699
12,BEENIC GmbH,Senior Backend Engineer / Backend Developer Azure (mobile Applikationen) (m/w/d),Oldenburg,https://jobs.github.com/positions/d01e0c7c-70cb-446b-808f-e2b1d12397ba
13,BEENIC GmbH,App Developer Android (m/w/d),Oldenburg,https://jobs.github.com/positions/585c7956-ea10-4180-8991-e4efc600842e
14,Trade Republic Bank GmbH,Junior Android Engineer (m/f/d),Berlin,https://jobs.github.com/positions/f6c53491-3159-4f16-85ac-4f360eac3427
15,Trade Republic Bank GmbH,Senior Android Engineer (m/f/d),Berlin,https://jobs.github.com/positions/37f8909b-e165-4713-b3b2-5a1a98641bfd
16,Rabobank,Scrum Master IT,Utrecht,https://jobs.github.com/positions/e3b220e2-de89-4d83-bb66-a64744254a1f
17,Marketcircle,Senior Rails Developer,"Toronto, ON - REMOTE",https://jobs.github.com/positions/acd6abe6-6931-4676-b902-3d6eb3b35cbc
18,Kiron Open Higher Education gGmbH,"Software Engineer (Javascript, GraphQL & Positive Social Change)",Berlin,https://jobs.github.com/positions/01c2b3f1-a210-499e-8ed9-bf98e576b15b
19,talentsconnect AG,Chapter-Lead DevOps (w/m/d),"Cologne, Germany",https://jobs.github.com/positions/00e66b8d-2329-4e18-9225-a7dc0054f16a
20,InnoGames GmbH,Senior Mobile Game Developer (C++) - Forge of Empires,Hamburg,https://jobs.github.com/positions/068da99c-e3d5-4660-ac18-a90a49eb5663
