,Job Title,Company,Location,Job Url,Unnamed: 0
0,Python Developer,Systemonex INC,"New York, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWDhERcgegtO3fQgQ6i1lKFLXqfs8lEm3nmlRKvZdoSOmcEpi6eRTO-dPxXMXK_bLJfB0mdH74lyan7FPkLG0nyn-IGtvU_7fsPnX_CNkm7Dr68KS75cPuHWBWvc-uk5d6aZXzcWOOljsXWltm_XCDo8UHn3syakNbh39sX7q2mRtZua1uotD7n0eA-dXzUpLTwtk69pENBwAYbRrs41bPSsDLtsB3O16LXS_HKNi_3rpRyFGW2YNJ5bZAbMNPgjjNVODJ68Vm7ADmsYlIdkJysaWJ84uqoWcZKI4gotC1iTHzo-mMREsQhZXKIiL0JtoTOTYLSUZyBgySXSg-SRSPWHyvZDmoWSYsXjV4iRQWENN3Y95oAJB5ZoNcC9gi0mPzFHMaBT6XcC6AtJHnQ7sUtV2yJyzadLMds5TIbYSLM-2G0SiFx-kl9OMggKilDkk=&p=0&fvj=1&vjs=3,
1,Python Developer,World.com,"New York, NY",https://www.indeed.com/company/WORLD.COM/jobs/Python-Developer-687f240976ebd580?fccid=08e04c572cdd132e&vjs=3,
2,Python/Django Developer,Computer Solution LLC,"New York, NY",https://www.indeed.com/company/Computer-Solution-LLC/jobs/Python-Django-Developer-766cb31b1f5ac308?fccid=6fdc674f44c56499&vjs=3,
3,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",https://www.indeed.com/rc/clk?jk=da727c0cddda240e&fccid=56a26d4c816e53d1&vjs=3,
4,Python Full Stack Developer,First Soft Solutions [ Direct],"New York, NY",https://www.indeed.com/rc/clk?cmp=First-Soft-Solutions-%5B-Direct%5D&ti=Python+Full+Stack+Developer&jk=07c813e0bb10cc6d&fccid=6dd0aeac1ec043d4&vjs=3,
5,Python - UNIX Developer,Accenture,"New York, NY",https://www.indeed.com/rc/clk?jk=29d4d03173288dee&fccid=a4e4e2eaf26690c9&vjs=3,
6,Assistant Inspector General - Policy,New York City Department: OIG NYPD | Location: STA...,"Staten Island, NY",https://www.indeed.com/rc/clk?jk=0ad652a3a4793c3e&fccid=dd616958bd9ddc12&vjs=3,
7,Data Analyst,RMA of NY,"New York, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1kEV3-JoxUC-p36pRtjRO8UIkiElrfGHOQ_e44ho4DdHW3dZ-oM8w3ezE2sjC_VTX0WNYP6VdAHSXoPuAQCkJFMUrJYnWG9BXjJwDwF0r6nJv_dT2GJVR2-VaEzR_of2yhauVYjB4YN3TWe-u5KYdzEnNVmzsWQNDT7p2oQQ7_TUjnVYjzCTo72FwjsI3oNNA7pz6SpuZzDu8y2oks9Ao40RhwbuxOmh47thojpsXoksA8MbZq5R4w91jxsBr22ZmL4GLq1ELG4jIiEAujEb9bhcXm1I-4MLQJ5OuXY028PMe0aZqFYteV7ju-caYQeaJ4XFR7eiluGUEfp_jNstLyz_aFtF8jybiI54zst3_AeccYrdWKqr3UqogdExS0uyl8V4tEcydqGWaVONvXHXRxd5rS6XwPa-2x-VPEGnV4MIMSXmK-PQ&p=7&fvj=1&vjs=3,
8,QA Selenium Tester,Cquest,"Manhattan, NY",https://www.indeed.com/company/Cquest/jobs/QA-Selenium-Tester-c9b67d744e139dfc?fccid=26bbb922067dd1da&vjs=3,
9,Python Software Engineer,World.com,"New York, NY",https://www.indeed.com/company/WORLD.COM/jobs/Python-Software-Engineer-9c7cf8c3a75ca703?fccid=08e04c572cdd132e&vjs=3,
10,Data Analyst,Signet Jewelers,"New York, NY",https://www.indeed.com/rc/clk?jk=48624136752ce056&fccid=4a1076c699e1befc&vjs=3,
